Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY SMLCAP 50","5,284.15","5,345.35","5,284.15","5,330.75","70.25","1.34","2,320.73","3,825.19","30,892.40","3,629.75","50.99","4.96"
"IDFC","58.00","63.80","58.00","63.20","7.50","13.46","1,236.17","766.30","64.40","36.60","68.98","25.90"
"INDIGOPNTS","1,974.00","2,250.00","1,961.50","2,107.00","163.65","8.42","4.29","92.50","3,329.95","1,900.00","-","-"
"BALAMINES","3,180.00","3,435.00","3,171.40","3,432.00","266.00","8.40","2.87","96.19","5,223.55","908.00","267.00","14.50"
"JUBLINGREA","541.00","578.70","539.90","576.65","38.15","7.08","11.26","63.44","838.75","241.30","-","-"
"AARTIDRUGS","525.50","549.50","524.75","542.80","20.10","3.85","2.42","13.03","841.80","484.00","-22.85","7.11"
"RVNL","34.00","34.95","33.75","34.95","1.20","3.56","39.41","13.59","44.80","22.55","52.95","4.48"
"ANURAS","966.00","1,014.00","960.10","985.00","29.30","3.07","5.56","54.88","1,014.00","474.00","-","-"
"WOCKPHARMA","401.60","423.70","401.25","412.00","12.05","3.01","20.91","87.01","804.90","371.75","-25.16","-5.41"
"CYIENT","1,003.00","1,042.00","1,000.80","1,028.00","29.80","2.99","4.31","44.23","1,292.00","478.65","99.73","1.54"
"IBULHSGFIN","215.90","219.65","215.25","218.00","5.15","2.42","192.02","418.16","313.70","154.20","1.47","-4.80"
"TV18BRDCST","44.00","46.00","43.90","44.90","1.05","2.39","67.41","30.27","55.80","26.25","44.61","8.98"
"AVANTIFEED","548.50","573.50","548.50","563.00","11.65","2.11","5.02","28.31","674.85","410.00","7.74","7.26"
"IEX","248.90","254.10","248.30","252.80","5.10","2.06","60.21","151.71","318.67","68.10","13.41","-66.04"
"PNBHOUSING","485.00","498.75","484.00","495.00","9.60","1.98","1.81","8.94","925.00","325.05","38.64","-10.12"
"JBCHEPHARM","1,742.00","1,806.30","1,715.00","1,774.95","32.95","1.89","1.94","34.37","1,985.00","956.05","76.29","8.31"
"CESC","86.30","87.80","86.20","87.65","1.60","1.86","10.57","9.22","102.45","57.72","-85.62","0.17"
"CHAMBLFERT","388.90","396.50","388.90","393.80","6.45","1.67","8.39","32.98","451.00","200.35","69.52","8.19"
"PVR","1,252.00","1,307.95","1,252.00","1,294.00","20.60","1.62","13.81","176.92","1,839.00","988.35","0.31","-5.66"
"RALLIS","271.90","276.80","271.90","274.50","3.75","1.39","3.56","9.76","362.60","242.35","-2.93","10.24"
"CAMS","2,640.00","2,674.90","2,640.00","2,672.00","33.15","1.26","0.99","26.26","4,067.40","1,701.00","48.75","-13.18"
"BAJAJELEC","1,280.00","1,297.85","1,261.55","1,286.50","15.30","1.20","1.27","16.25","1,588.95","602.25","109.68","19.76"
"GMMPFAUDLR","4,770.00","4,924.00","4,762.80","4,842.70","54.85","1.15","0.39","19.15","5,435.00","3,535.00","28.44","8.18"
"MAHABANK","19.15","19.35","19.05","19.25","0.20","1.05","17.73","3.41","32.00","12.95","47.51","0.26"
"MCX","1,570.00","1,596.00","1,570.00","1,584.85","16.20","1.03","2.77","43.84","2,135.00","1,432.30","-9.76","-0.89"
"ZENSARTECH","522.70","528.80","514.00","524.00","5.30","1.02","16.95","88.34","587.00","223.40","118.79","17.34"
"AMBER","3,291.45","3,333.00","3,290.00","3,322.00","30.55","0.93","0.25","8.22","3,788.65","2,340.00","39.61","9.66"
"CDSL","1,486.50","1,528.00","1,485.00","1,499.50","12.80","0.86","6.43","96.86","1,734.40","476.35","185.73","3.34"
"CEATLTD","1,200.55","1,225.50","1,190.60","1,210.70","10.15","0.85","0.92","11.11","1,763.00","1,051.55","12.99","3.10"
"BSOFT","543.45","549.00","539.00","545.50","4.40","0.81","23.59","128.42","549.35","215.90","114.93","14.85"
"ALOKINDS","25.75","26.35","25.60","25.70","0.15","0.59","119.40","30.96","32.25","18.70","20.94","20.37"
"ROUTE","1,786.00","1,828.80","1,773.20","1,780.00","8.60","0.49","2.08","37.41","2,389.00","1,090.00","60.74","-1.89"
"IDBI","46.35","46.95","46.00","46.30","0.20","0.43","47.41","22.05","65.25","26.35","50.08","1.87"
"UTIAMC","1,053.00","1,070.90","1,035.00","1,050.00","4.10","0.39","1.30","13.72","1,216.20","538.00","87.15","-4.17"
"BIRLACORPN","1,439.95","1,451.05","1,410.00","1,428.00","3.50","0.25","0.47","6.78","1,650.00","701.10","95.54","5.85"
"RADICO","1,233.80","1,245.00","1,213.75","1,233.00","1.45","0.12","8.51","104.21","1,285.00","446.00","173.00","9.86"
"MMTC","44.50","44.80","44.05","44.40","0.05","0.11","14.82","6.59","63.95","24.60","63.54","13.41"
"HAPPSTMNDS","1,304.00","1,310.00","1,287.45","1,297.05","0.90","0.07","1.98","25.71","1,580.00","333.25","276.34","-10.23"
"IOB","20.40","20.65","20.35","20.35","0.00","0.00","43.14","8.83","29.00","10.20","93.81","-2.40"
"CENTRALBK","21.30","21.55","21.20","21.25","0.00","0.00","24.04","5.13","29.65","12.50","54.55","-0.47"
"CANFINHOME","551.00","562.85","551.00","554.20","-0.30","-0.05","7.04","39.15","722.00","455.25","11.59","-6.08"
"FSL","183.70","185.80","182.15","183.00","-0.20","-0.11","30.17","55.53","242.85","84.20","84.48","7.90"
"STAR","450.00","451.50","445.00","446.50","-0.85","-0.19","5.29","23.73","999.00","403.30","-49.89","-8.48"
"NBCC","46.30","47.05","45.80","45.95","-0.10","-0.22","101.93","47.18","59.80","28.95","56.29","14.02"
"GRANULES","337.40","344.80","332.05","336.00","-2.30","-0.68","11.86","40.22","404.80","280.50","-7.53","11.78"
"WELSPUNIND","148.50","149.55","144.50","145.50","-2.15","-1.46","10.82","15.91","170.70","64.85","118.30","5.51"
"STLTECH","291.65","293.90","286.00","286.75","-4.85","-1.66","2.95","8.54","318.00","171.45","52.12","3.76"
"GRAPHITE","528.00","544.00","503.85","509.80","-13.75","-2.63","84.55","440.40","815.90","298.80","65.92","24.71"
"HEG","1,846.00","1,877.00","1,776.05","1,792.00","-54.30","-2.94","8.77","159.61","2,629.00","912.20","92.32","-0.80"
"INTELLECT","785.00","786.00","737.00","743.00","-29.95","-3.87","6.72","50.99","892.00","306.15","134.50","19.67"
"DBL","468.50","478.05","432.25","441.75","-36.20","-7.57","24.25","108.87","749.80","388.50","11.99","-16.39"
